case_id,stl_path,stl_exists,target_wall_thickness_mm,wall_thickness_compliance_fraction,smoothing_volume_change_relative,status,stl_loadable,watertight,watertight_after_repair,non_manifold_edge_count,non_manifold_edge_count_after_repair,connected_component_count,mesh_volume_mm3,surface_area_mm2,bbox_x_mm,bbox_y_mm,bbox_z_mm,edge_length_min_mm,edge_length_median_mm,edge_length_mean_mm,estimated_minimum_feature_size_mm,repair_success,slicer_compatibility_proxy,slicer_proxy_notes
930,outputs/phase_b_mesh_qc/case_outputs/930/segmentation_repaired.stl,True,3.0,0.12835685025034138,-0.0026231740206100486,ok,True,True,True,0,0,9,7474.060268280676,8013.6205917621755,115.80000877380371,99.60000228881836,78.60000610351562,0.4242468053627785,0.5999984741210938,0.5900497008998139,0.4242468053627785,True,True,loadable STL and repaired mesh has no non-manifold edges
931,outputs/phase_b_mesh_qc/case_outputs/931/segmentation_repaired.stl,True,3.0,0.061094708153531685,-0.005168311108382871,ok,True,True,True,0,0,20,3708.45068567287,4976.715666676625,146.40000915527344,99.60000228881836,89.4000072479248,0.424252200193688,0.5999984741210938,0.5905183890618532,0.424252200193688,True,True,loadable STL and repaired mesh has no non-manifold edges
932,outputs/phase_b_mesh_qc/case_outputs/932/segmentation_repaired.stl,True,3.0,0.09037817137386309,-0.0023453754098094444,ok,True,True,True,0,0,4,6660.504505016082,7491.18911703541,98.40000534057617,87.0,84.00000667572021,0.424252200193688,0.5999984741210938,0.5926463502814396,0.424252200193688,True,True,loadable STL and repaired mesh has no non-manifold edges
933,outputs/phase_b_mesh_qc/case_outputs/933/segmentation_repaired.stl,True,3.0,0.07960758584059736,-0.0038413684172206404,ok,True,True,True,0,0,15,6768.369868280322,8392.44260647295,106.80000495910645,90.0000114440918,102.60000133514404,0.4242468053627785,0.5999984741210938,0.5901861373965122,0.4242468053627785,True,True,loadable STL and repaired mesh has no non-manifold edges
934,outputs/phase_b_mesh_qc/case_outputs/934/segmentation_repaired.stl,True,3.0,0.09325379158875731,-0.0026672578776592054,ok,True,True,True,0,0,5,7152.634303659768,8287.363828877156,111.00000762939453,88.79999923706055,103.20000267028809,0.4242468053627785,0.5999984741210938,0.5898377185807235,0.4242468053627785,True,True,loadable STL and repaired mesh has no non-manifold edges
935,outputs/phase_b_mesh_qc/case_outputs/935/segmentation_repaired.stl,True,3.0,0.10421857304643262,-0.0023865139115176034,ok,True,True,True,0,0,6,7504.8484938177,8406.092457335735,124.80001068115234,106.19999694824219,91.80000114440918,0.4242468053627785,0.5999984741210938,0.5933260893673992,0.4242468053627785,True,True,loadable STL and repaired mesh has no non-manifold edges
936,outputs/phase_b_mesh_qc/case_outputs/936/segmentation_repaired.stl,True,3.0,0.15962531678054726,-0.0025301951130287602,ok,True,True,True,0,0,13,6638.346612113751,6737.4830509184585,123.0,106.20000457763672,77.40000247955322,0.4242468053627785,0.5999984741210938,0.5910167160556782,0.4242468053627785,True,True,loadable STL and repaired mesh has no non-manifold edges
937,outputs/phase_b_mesh_qc/case_outputs/937/segmentation_repaired.stl,True,3.0,0.061623302120729855,-0.0034823052161826393,ok,True,True,True,0,0,6,5720.544848396639,7103.884840175283,129.5999984741211,127.20000839233398,83.4000015258789,0.4242468053627785,0.5999984741210938,0.5880751410496838,0.4242468053627785,True,True,loadable STL and repaired mesh has no non-manifold edges
938,outputs/phase_b_mesh_qc/case_outputs/938/segmentation_repaired.stl,True,3.0,0.14341581667657685,-0.0023525842990128427,ok,True,True,True,0,0,13,9304.381167182208,9732.005188467923,151.8000030517578,163.2000026702881,91.80000305175781,0.4242468053627785,0.5999984741210938,0.5910608990921156,0.4242468053627785,True,True,loadable STL and repaired mesh has no non-manifold edges
939,outputs/phase_b_mesh_qc/case_outputs/939/segmentation_repaired.stl,True,3.0,0.05483075813142548,-0.0034039396705359457,ok,True,True,True,0,0,13,7039.980678120181,8807.734080410575,131.39999771118164,107.39999771118164,89.4000015258789,0.4242468053627785,0.5999984741210938,0.5915678236587409,0.4242468053627785,True,True,loadable STL and repaired mesh has no non-manifold edges
940,outputs/phase_b_mesh_qc/case_outputs/940/segmentation_repaired.stl,True,3.0,0.043305005489366895,-0.004571261559977291,ok,True,True,True,0,0,13,5189.3828611191575,6927.110776510987,109.80001068115234,87.60000419616699,83.39999961853027,0.424252200193688,0.5999984741210938,0.5905645309736463,0.424252200193688,True,True,loadable STL and repaired mesh has no non-manifold edges
941,outputs/phase_b_mesh_qc/case_outputs/941/segmentation_repaired.stl,True,3.0,0.04745175192055462,-0.0034417015329068225,ok,True,True,True,0,0,6,4516.686546123332,5753.8302919347425,93.0,76.80000686645508,89.4000072479248,0.424252200193688,0.5999984741210938,0.5892887518654095,0.424252200193688,True,True,loadable STL and repaired mesh has no non-manifold edges
942,outputs/phase_b_mesh_qc/case_outputs/942/segmentation_repaired.stl,True,3.0,0.06210245831184459,-0.003464113915393576,ok,True,True,True,0,0,8,4924.494922268442,6096.418442426801,93.60000228881836,79.80000305175781,79.20000457763672,0.424252200193688,0.5999984741210938,0.5903402637876349,0.424252200193688,True,True,loadable STL and repaired mesh has no non-manifold edges
943,outputs/phase_b_mesh_qc/case_outputs/943/segmentation_repaired.stl,True,3.0,0.04746451890370255,-0.004526101134101809,ok,True,True,True,0,0,17,5397.642973224744,7084.2481489585525,94.20001220703125,89.4000015258789,97.20000606775284,0.4242468053627785,0.5999984741210938,0.5890598923031549,0.4242468053627785,True,True,loadable STL and repaired mesh has no non-manifold edges
944,outputs/phase_b_mesh_qc/case_outputs/944/segmentation_repaired.stl,True,3.0,0.08260869565217391,not_watertight,ok,True,False,False,52,52,20,not_watertight,10699.62494902183,160.50000762939453,120.60000991821289,104.70000457763672,0.4242468053627785,0.5999984741210938,0.5902294477522096,0.4242468053627785,True,False,geometry defects may break slicing
945,outputs/phase_b_mesh_qc/case_outputs/945/segmentation_repaired.stl,True,3.0,0.07793643207073725,-0.002925661264850137,ok,True,True,True,0,0,8,7094.41289266257,8510.745503099388,108.60000610351562,119.40000534057617,85.20000648498535,0.4242468053627785,0.5999984741210938,0.5893659606092738,0.4242468053627785,True,True,loadable STL and repaired mesh has no non-manifold edges
