case_id,repaired_stl,mesh_qc_status,watertight,non_manifold_edge_count
913,outputs/phase_b_mesh_qc/case_outputs/913/segmentation_repaired.stl,ok,True,0
914,outputs/phase_b_mesh_qc/case_outputs/914/segmentation_repaired.stl,ok,True,0
915,outputs/phase_b_mesh_qc/case_outputs/915/segmentation_repaired.stl,ok,True,0
916,outputs/phase_b_mesh_qc/case_outputs/916/segmentation_repaired.stl,ok,True,0
917,outputs/phase_b_mesh_qc/case_outputs/917/segmentation_repaired.stl,ok,True,0
918,outputs/phase_b_mesh_qc/case_outputs/918/segmentation_repaired.stl,ok,True,0
919,outputs/phase_b_mesh_qc/case_outputs/919/segmentation_repaired.stl,ok,True,0
920,outputs/phase_b_mesh_qc/case_outputs/920/segmentation_repaired.stl,ok,True,0
921,outputs/phase_b_mesh_qc/case_outputs/921/segmentation_repaired.stl,ok,True,0
922,outputs/phase_b_mesh_qc/case_outputs/922/segmentation_repaired.stl,ok,True,0
923,outputs/phase_b_mesh_qc/case_outputs/923/segmentation_repaired.stl,ok,True,0
924,outputs/phase_b_mesh_qc/case_outputs/924/segmentation_repaired.stl,ok,True,0
925,outputs/phase_b_mesh_qc/case_outputs/925/segmentation_repaired.stl,ok,False,82
926,outputs/phase_b_mesh_qc/case_outputs/926/segmentation_repaired.stl,ok,True,0
927,outputs/phase_b_mesh_qc/case_outputs/927/segmentation_repaired.stl,ok,True,0
928,outputs/phase_b_mesh_qc/case_outputs/928/segmentation_repaired.stl,ok,True,0
929,outputs/phase_b_mesh_qc/case_outputs/929/segmentation_repaired.stl,ok,True,0
930,outputs/phase_b_mesh_qc/case_outputs/930/segmentation_repaired.stl,ok,True,0
931,outputs/phase_b_mesh_qc/case_outputs/931/segmentation_repaired.stl,ok,True,0
932,outputs/phase_b_mesh_qc/case_outputs/932/segmentation_repaired.stl,ok,True,0
933,outputs/phase_b_mesh_qc/case_outputs/933/segmentation_repaired.stl,ok,True,0
934,outputs/phase_b_mesh_qc/case_outputs/934/segmentation_repaired.stl,ok,True,0
935,outputs/phase_b_mesh_qc/case_outputs/935/segmentation_repaired.stl,ok,True,0
936,outputs/phase_b_mesh_qc/case_outputs/936/segmentation_repaired.stl,ok,True,0
937,outputs/phase_b_mesh_qc/case_outputs/937/segmentation_repaired.stl,ok,True,0
938,outputs/phase_b_mesh_qc/case_outputs/938/segmentation_repaired.stl,ok,True,0
939,outputs/phase_b_mesh_qc/case_outputs/939/segmentation_repaired.stl,ok,True,0
940,outputs/phase_b_mesh_qc/case_outputs/940/segmentation_repaired.stl,ok,True,0
941,outputs/phase_b_mesh_qc/case_outputs/941/segmentation_repaired.stl,ok,True,0
942,outputs/phase_b_mesh_qc/case_outputs/942/segmentation_repaired.stl,ok,True,0
943,outputs/phase_b_mesh_qc/case_outputs/943/segmentation_repaired.stl,ok,True,0
944,outputs/phase_b_mesh_qc/case_outputs/944/segmentation_repaired.stl,ok,False,52
945,outputs/phase_b_mesh_qc/case_outputs/945/segmentation_repaired.stl,ok,True,0
946,outputs/phase_b_mesh_qc/case_outputs/946/segmentation_repaired.stl,ok,True,0
947,outputs/phase_b_mesh_qc/case_outputs/947/segmentation_repaired.stl,ok,True,0
948,outputs/phase_b_mesh_qc/case_outputs/948/segmentation_repaired.stl,ok,True,0
949,outputs/phase_b_mesh_qc/case_outputs/949/segmentation_repaired.stl,ok,True,0
950,outputs/phase_b_mesh_qc/case_outputs/950/segmentation_repaired.stl,ok,True,0
951,outputs/phase_b_mesh_qc/case_outputs/951/segmentation_repaired.stl,ok,True,0
952,outputs/phase_b_mesh_qc/case_outputs/952/segmentation_repaired.stl,ok,True,0
953,outputs/phase_b_mesh_qc/case_outputs/953/segmentation_repaired.stl,ok,True,0
954,outputs/phase_b_mesh_qc/case_outputs/954/segmentation_repaired.stl,ok,True,0
955,outputs/phase_b_mesh_qc/case_outputs/955/segmentation_repaired.stl,ok,True,0
956,outputs/phase_b_mesh_qc/case_outputs/956/segmentation_repaired.stl,ok,True,0
957,outputs/phase_b_mesh_qc/case_outputs/957/segmentation_repaired.stl,ok,True,0
958,outputs/phase_b_mesh_qc/case_outputs/958/segmentation_repaired.stl,ok,True,0
959,outputs/phase_b_mesh_qc/case_outputs/959/segmentation_repaired.stl,ok,False,10
960,outputs/phase_b_mesh_qc/case_outputs/960/segmentation_repaired.stl,ok,True,0
961,outputs/phase_b_mesh_qc/case_outputs/961/segmentation_repaired.stl,ok,True,0
962,outputs/phase_b_mesh_qc/case_outputs/962/segmentation_repaired.stl,ok,False,26
963,outputs/phase_b_mesh_qc/case_outputs/963/segmentation_repaired.stl,ok,True,0
964,outputs/phase_b_mesh_qc/case_outputs/964/segmentation_repaired.stl,ok,True,0
965,outputs/phase_b_mesh_qc/case_outputs/965/segmentation_repaired.stl,ok,True,0
966,outputs/phase_b_mesh_qc/case_outputs/966/segmentation_repaired.stl,ok,True,0
967,outputs/phase_b_mesh_qc/case_outputs/967/segmentation_repaired.stl,ok,True,0
968,outputs/phase_b_mesh_qc/case_outputs/968/segmentation_repaired.stl,ok,True,0
969,outputs/phase_b_mesh_qc/case_outputs/969/segmentation_repaired.stl,ok,True,0
970,outputs/phase_b_mesh_qc/case_outputs/970/segmentation_repaired.stl,ok,True,0
971,outputs/phase_b_mesh_qc/case_outputs/971/segmentation_repaired.stl,ok,True,0
972,outputs/phase_b_mesh_qc/case_outputs/972/segmentation_repaired.stl,ok,True,0
973,outputs/phase_b_mesh_qc/case_outputs/973/segmentation_repaired.stl,ok,True,0
974,outputs/phase_b_mesh_qc/case_outputs/974/segmentation_repaired.stl,ok,True,0
975,outputs/phase_b_mesh_qc/case_outputs/975/segmentation_repaired.stl,ok,True,0
976,outputs/phase_b_mesh_qc/case_outputs/976/segmentation_repaired.stl,ok,True,0
977,outputs/phase_b_mesh_qc/case_outputs/977/segmentation_repaired.stl,ok,True,0
978,outputs/phase_b_mesh_qc/case_outputs/978/segmentation_repaired.stl,ok,True,0
979,outputs/phase_b_mesh_qc/case_outputs/979/segmentation_repaired.stl,ok,True,0
980,outputs/phase_b_mesh_qc/case_outputs/980/segmentation_repaired.stl,ok,True,0
981,outputs/phase_b_mesh_qc/case_outputs/981/segmentation_repaired.stl,ok,True,0
982,outputs/phase_b_mesh_qc/case_outputs/982/segmentation_repaired.stl,ok,True,0
983,outputs/phase_b_mesh_qc/case_outputs/983/segmentation_repaired.stl,ok,True,0
984,outputs/phase_b_mesh_qc/case_outputs/984/segmentation_repaired.stl,ok,True,0
985,outputs/phase_b_mesh_qc/case_outputs/985/segmentation_repaired.stl,ok,True,0
986,outputs/phase_b_mesh_qc/case_outputs/986/segmentation_repaired.stl,ok,True,0
987,outputs/phase_b_mesh_qc/case_outputs/987/segmentation_repaired.stl,ok,True,0
988,outputs/phase_b_mesh_qc/case_outputs/988/segmentation_repaired.stl,ok,True,0
989,outputs/phase_b_mesh_qc/case_outputs/989/segmentation_repaired.stl,ok,True,0
990,outputs/phase_b_mesh_qc/case_outputs/990/segmentation_repaired.stl,ok,True,0
991,outputs/phase_b_mesh_qc/case_outputs/991/segmentation_repaired.stl,ok,True,0
992,outputs/phase_b_mesh_qc/case_outputs/992/segmentation_repaired.stl,ok,True,0
993,outputs/phase_b_mesh_qc/case_outputs/993/segmentation_repaired.stl,ok,True,0
994,outputs/phase_b_mesh_qc/case_outputs/994/segmentation_repaired.stl,ok,True,0
995,outputs/phase_b_mesh_qc/case_outputs/995/segmentation_repaired.stl,ok,False,28
996,outputs/phase_b_mesh_qc/case_outputs/996/segmentation_repaired.stl,ok,True,0
997,outputs/phase_b_mesh_qc/case_outputs/997/segmentation_repaired.stl,ok,True,0
998,outputs/phase_b_mesh_qc/case_outputs/998/segmentation_repaired.stl,ok,True,0
999,outputs/phase_b_mesh_qc/case_outputs/999/segmentation_repaired.stl,ok,True,0
